transaction_id,year,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,revenue,hour,day_bin,day_of_week_num,day_of_week,week_number,time_bucket,is_weekend
1,2025,7:06:11,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0,7,0,2,Wednesday,1,Morning (6–11),False
2,2025,7:08:56,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,7,0,2,Wednesday,1,Morning (6–11),False
3,2025,7:14:04,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9.0,7,0,2,Wednesday,1,Morning (6–11),False
4,2025,7:20:24,1,5,Lower Manhattan,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,7,0,2,Wednesday,1,Morning (6–11),False
5,2025,7:22:41,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,7,0,2,Wednesday,1,Morning (6–11),False
6,2025,7:22:41,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,7,0,2,Wednesday,1,Morning (6–11),False
7,2025,7:25:49,1,5,Lower Manhattan,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,7,0,2,Wednesday,1,Morning (6–11),False
8,2025,7:33:34,2,5,Lower Manhattan,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4.0,7,0,2,Wednesday,1,Morning (6–11),False
9,2025,7:39:13,1,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,4.25,7,0,2,Wednesday,1,Morning (6–11),False
10,2025,7:39:34,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7.0,7,0,2,Wednesday,1,Morning (6–11),False
11,2025,7:43:05,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,7,0,2,Wednesday,1,Morning (6–11),False
12,2025,7:44:35,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,7,0,2,Wednesday,1,Morning (6–11),False
